text,locale,ant-IN,ant-UK
"Surprisingly easy to navigate safely( given its size), Victoria Square Tarntanyangga is a gathering place as much as it is an artery for movement through the city. Many events are received and / or hosted here( including sports events and holiday festivals). The parks are nice and many people recreate; partaking in health, fitness and family activities throughout the day. Victoria Square is a place of respite for busy office workers and it can look stunningly beautiful. More native vegetation would be appreciated but the open spaces must be preserved for practical reasons. One other thing worth noting is the cooling effect of this green open space. It is significant and airflow is definitely increased within the city because of it, which is important because Adelaide is prone to hot summers.",en-AU,en-AU,en-UK
"Take away chicken spicy rice box with peri peri fries. Rice is hot but tasty, and the lemon sauce Is amazing. Really good food, great price, worthy of 5 stars. Would rate as good as nandos for taste, chicken is n't quite as high quality but the taste is epic! And the portions are great. The boxes look small, but are like dr. Who's TARDIS. 1 rice box is good enough for 2.",en-UK,en-UK,en-AU
"We ordered roast of the day, Aussie burger, cc and midori cocktail. The service is quick, staff are very friendly. The food n drink are good.",en-AU,en-AU,en-AU
"Tried their folded chili eggs() plus mushrooms and bacon( each). If I did not add the mushrooms and bacon, it is rather a simple overpriced chili eggs on an almost soggy bread. But with more flavours and protein in the mix, it was a good dish overall( minus the price point). Coffee was spot on, a little coffee art may help esp for weekend brunches after a long workweek( might be of a stretch for a suggestion I know, this is usual in Melbourne tho). Service was fantastic, staff were friendly and attentive.",en-AU,en-AU,en-AU
Was a long time since visiting. Food is still as good.,en-AU,en-IN,en-UK
"Unfortunately this branch has really gone down hill. For the amount we paid, I expected far better food and service. We waited a very long time for food and there were n't many people in there. The waitress was kind enough to come over and ask if we were told about the delay, which we were n't. When they food came the chicken was really dry and bland as though they did n't baste or season it on the grill. The garlic bread was rock solid it literally hurt my jaw eating it and gave me a headache. We did ask for some of the garlic breads to be replaced but the rest were inedible. We are n't complainers so we did n't say anything until we seen the manager at the very end. All he said was OK I'll let the staff know. I think maybe some of the order was ready and was waiting too long before serving which is why everything was dry and almost stale. It honestly is not worth the money, far too expensive and food very inadequette. Even the children said how bad it was. We wo n't be returning sadly. I am writing this in hope you can improve for others because people work hard to treat their families, and I would n't want others to walk away with the way we felt.",en-UK,en-IN,en-UK
"Food was really awesome, quantity was also good but the service was late.. Hope next time the service will be on time.. Overall I loved the food And yes I would love to visit again",en-IN,en-IN,en-UK
"Paid for a chicken big mac( more expensive than a normal beef big mac btw) through the drive through just and got home, took one bite and found that they put a beef big mac inside a chicken big mac box chips was hot though for once and the service from the girl was nt the greatest, she sounded like she could n't be bothered to serve talk. So not best pleased to be honest",en-UK,en-AU,en-UK
"We were pleasantly surprised at this restaurant. It was clean, with modern decor and friendly staff and not too busy at 4 pm on the last day of term. Despite the extensive menu, my pizza was thin crust, delicious and served hot and fresh. The breadsticks dessert was a real treat, big portion with warm sticks and plenty of dipping sauce.",en-UK,en-AU,en-UK
Although the bhang is not very costly but they do not use UPI for transactions which means they are doing some fraud and taking cash only.,en-IN,en-IN,en-IN
"Its change in other name like this December 2020, Renovation in new concept and design at same place... Varieties of cake and stuff",en-IN,en-IN,en-IN
"Visited the famous Indian Coffee House on Shimla Mall Road, known for hosting the Prime Minister. Tried the Masala Dosa  unique taste, not strictly South Indian but enjoyable. Highly recommend their delicious Special Coffee. The staff was attentive, and the evening crowd was just right. The spacious venue can host any group size, making it a memorable visit with a touch of history.",en-IN,en-IN,en-IN
"To be honest, the food was pretty tasteless and bland, and the portions were extremely small... please do n't let my experience put you off trying it, BUT I certainly would n't recommend nor return to this place.",en-UK,en-AU,en-AU
Went yesterday with my family for my birthday it was a great experience having dinner at biryani Darbar the food and service was really good thumbs up will visit next time soon!,en-IN,en-IN,en-IN
"Having been back a couple of times since, it would appear my original visit was an off day for Costa. My most recent visit was lovely, calm, quick service, outstanding and talented staff, beautiful coffee, and delicious chocolate twists! Plenty of seats available, even though lots of seats were taken, and it was a clean and pleasant atmosphere. Some days it will be busier than shops on black Friday, and others it'll be like today. Know and plan your days and timings and you'll have a wonderful visit. With loads of free parking just outside as well, I recommend visiting!",en-UK,en-AU,en-UK
"To the new owner of this Wagga subway, congratulations, but please keep the staff, this is the best subway in Wagga for service and fast get in and out with your lunch, the others are so slow and only ever have 2 staff on.",en-AU,en-AU,en-AU
"You can enjoy a quiet walk alongside the Bremer River. Most of the pedestrian ramps were closed, possibly for renovation. It would be a nice place to visit once the pedestrian ramps are open once again. There is a free car park which can be accessed from Bremer Street. Toilets are available at the car park.",en-AU,en-AU,en-UK
"Good selection of beers, was n't expecting Marble brewery in Lancaster. Dog friendly, spacious venue if not particularly interesting looking. Outside seating by the canal though.",en-UK,en-UK,en-UK
Very nice Place. There is a separate room for a company. The room is equipped with air conditioning. Servis is so fast and Good advice on choosing a drink and snacks is right for you.,en-IN,en-IN,en-IN
"Very enjoyable experience, however the current exhibition is a bit plain and low effort. Previously they have had much more interesting one afor the kids, like Lego car racing( with lots of big drops) or massive foam blocks from kids to build / climb with. Still, has lots of great modern art and a clay creation area.",en-AU,en-AU,en-UK
"Nice party venue, good function rooms, busy place, friendly staff. Thanks",en-UK,en-IN,Can't say
-Went for morning coffee before we visit the Mandurah Giants. There were 23 seniors who were happy to have coffee & cake after travelling 90 minutes on the coach. I had a coffee latte made with almond milk. The coffee was made just right. Cakes were yummy. Thanks to the staff who were very helpful & friendly. Service was prompt.,en-AU,en-AU,en-AU
Fun quirky cafe that I have enjoyed going to over the years but have noticed recently that the service has gone way down. Today and other days I have been left standing at the counter waiting to even be acknowledged. I do n't mind waiting and understand being understaffed or busy but when staff are standing behind the machine / counter and avoiding eye contact while I waiting to order feels like I unwelcome and honestly makes me want to walk out.,en-AU,en-AU,en-UK
This restaurant has a really good taste. The tandoori chicken here is juicy n full of taste. I had taken many parcels from here n ordered the same too. U get the same taste everytime. Biryani is also good.,en-IN,en-IN,en-IN
"I really wanted to give this place higher rating, but unfortunately could n't find a good enough reason to. Starting with the positive, prices are super competitive, most dishes are under 16. However, moving to the negative, dishes are on the small side, my kids and wife( not big eaters) asked to stop at a bakery after our meal as they were hungry. We also felt quality of food could have been much better. A few examples:-The cinnamon toast was flooded with butter, we could n't finish it.-Poached eggs on the Benedict were over cooked( like hard boiled egg)-Dishes were all super basic in execution, an average home cook could have easily done a better job. To top it all, we set outside in area which was nice enough but swarming with flies. I reckon the restaurant can do much more to deal with that, it much more than small nuisance ",en-AU,en-AU,en-AU
Had Mexican for a change to usual stuff. Enjoyed each and every Nachos and the sauce-Red Chilli. Ended up having a clean take away container with nothing left. There was nothing that went to the bin other than the empty container. Tried Nachos with Chicken and looking forward to have other specialities they have like Burritos and Tacos. Friendly staff they have and lots of dining spaces..,en-AU,en-AU,en-UK
Straight to the point. 2 stars because of less hygienic atmosphere. Plus no toiletries. Food is okay not so tasty that i will come often and not so bad that i do n't go back.,en-IN,en-IN,en-IN
"The coffee at the shop was delightful, offering a rich and enjoyable flavor. However, I noticed that the environment felt a bit tense, which slightly affected the overall experience. Despite this, if you're primarily seeking a great cup of coffee, it's worth a visit.",en-UK,en-AU,en-UK
"I recently stopped by this cafe in the Hunter Valley, and their chicken pesto toastie was absolutely fantastic, and the coffee was top-notch. If you're looking for a quick and delicious bite in the Hunter Valley, this cafe is the perfect choice. Do n't miss out on their amazing toasties!",en-AU,en-AU,en-AU
Not local but was happy to stop for few drinks as the place seemed warm a d welcoming and busy on cold and windy night. Good beer choice. Cheep spoons prices. Tons of food options( sadly pizza was not available when requested). Friendly local crowd.,en-UK,en-UK,en-UK
Turned down a small alley and found this gem of a place. Packed out even mid week. Nice little ornate place with copper topped bar and a good selection of real ale. I only had a drink but will be back for food and more beer,en-UK,en-UK,en-AU
If you do n't want to talk or like others reviews are saying not welcoming with a smile. It is fine for me. But the chips were soggy and not cooked properly cause it usually crispy. It also gave me tummy ache. I had McDonald for a long time and was so excited. But you put me off. I will not recommend to go to this MacDonald and I never coming to yours even someone give me a money. I do n't put my health in a risk. Disgusted,en-UK,en-AU,en-IN
Definitely a nice spot for lunch for a group of visitors. The coffee was excellent. The brunch options were good with fair prices. The tables outside were a bit dirty from previous meals. The service was fine.,en-AU,en-IN,en-UK
"Ordered. Way. Too. Much! Everything on the menu looked so good so had to order as much as my eyes could eat. Did a couple of tacos, fried chicken, and the corn. Tacos were the definite stand out for me especially the fish tacos which were crispy fried and delicious! Not normally big on eating corn but this was pretty good, had some "" special "" sauce on the plate with this so paired well. The fried chicken was ok, by this time I was extremely full already! This is a schnitzel style fried chicken, which also has that same "" special "" sauce. Sauce definitely helped as some of the chicken was slightly dry. Overall with the sauce it was bearable. This place also has a few tables outdoor for seating, however not much of a view right next to the road.",en-AU,en-AU,en-UK
"The worst weatherspoons I have been to. Staff standing around chatting. Waited 40 minutes for dessert to be delivered to table, having chased it twice. Was only a couple of scoops of ice cream with biscuit crumbled on top. Would n't eat there again.",en-UK,en-UK,en-UK
"Not your coffee Cartel, but still very good. Staff always pleasant",en-AU,en-UK,en-UK
They have very limited items in the menu The mojito was very sugary Peri peri French fries was really good crispy and spicy And chicken wings were also very well seasoned and crispy from outside,en-IN,en-IN,en-UK
City view looks amazing from here. Britishers constructed it. Now it has gate and compound wall.,en-IN,en-IN,en-AU
"We always get take away. The place is often mega busy. Food can be a bit hit andiss but the last few times have been fantastic. You can be waiting for a while if it's really busy, always seems to catch them by surprise.",en-AU,en-UK,en-AU
Nice relaxed atmosphere. A perfect place for a coffee and a dessert after a walk in Esher. Plant powered breakfast sounds good. I love the pictures from the 60s. The furniture has seen better days.,en-UK,en-UK,en-UK
Food was really tasty. Price is high compared to the portion. Very friendly stuff and excellent customer service.,en-AU,en-AU,en-UK
Absolutely lovely service that was down to earth and served with a smile. Subs were well made with decent servings. Shops was relatively clean as well and the cookies were n't burnt. Keep up the good work!,en-AU,en-AU,en-AU
When we walked in place was empty. We placed order 4 people working there or hanging around. Food was ready did n't even have the decency to bring it to the table. When we got the tacos it was Coldish only fries where warm. This was at taco bell in Mansfield. Not going to see me there again. Not saying taco bell is bad only the one in Mansfield is quite bad.,en-UK,en-UK,en-UK
"I liked having the free self service storage locker for my small backpack. Definitely not a huge museum, but I did enjoy it. I was able to get through it in under 30min( I did n't read everything). Not something I would plan my entire day around doing, but it was free and a decent place to swing by if you are in the area. I did not make a reservation to visit the clock tower, so I did not end up seeing it. I personally do not enjoy guided tours.",en-AU,en-AU,en-UK
"Visited on this cheap Tuesday during our brief stay in Wagga, after seeing all the good reviews. There were only two varieties of pies left as we arrived an hour and a half before closing, and both were delicious and affordably priced at each with free sauce( be warned though, the curry pie has a spicy kick!). The girls who served us were also lovely. I would n't hesitate to come back here next time I in Wagga!",en-AU,en-AU,en-AU
"Great pub, great venue & overall 4 stars as a genuine rating. Drinks were n't a rip off and the band playing last Saturday took me back to the 80 & 90. Place was buzzing & I had a nice collect in the gambling lounge too. The only real dissatisfaction is relevant to the food. To be honest I picked out a couple of restaurants on Wharf St but my know it all mate said this hotel is the best feed in town. Possibly so but definitely not last Saturday night. Basic pub feed within a canteen like area. The seafood platters were less than good & way over priced. Apart from the food review I really liked the place, the vibe & location",en-UK,en-UK,en-AU
"Quality of this place has degraded day by day. I used to be a regular customer to this place before. Now I shifted to some other outlet. Let me give you one example why I am saying so. I ordered 4 aloo tikki burger, I believe pizza baker were out of aloo tikki so they kept half aloo tikki in each burger. I thought may be by mistake. I ordered again, they were out of cucumber this time.",en-IN,en-IN,en-IN
visited December 2023 A pretty typical grocery store. This place was fairly well staffed and clean. They had everything you'd need from a grocery store and plenty of other items. The self checkouts were wide open and everything seemed to run smoothly during our visit. Would go again.,en-AU,en-AU,en-UK
"Was shopping last night in your store and the Personal Hygiene( Or lack of it) of one of your employees who was stacking your shelves was seriously disgusting. His body odour was so bad that I had to turn around mid aisle wretching my guts otherwise I would have spewed up everywhere, Not a good advertisement for a food store of a well known brand!",en-UK,en-AU,en-UK
Spicy food delicious Service I rated 3 There are no seating arrangements. Location is good,en-IN,en-IN,en-IN
Amazing restaurant... Tanduri lemon chicken is specially very good... off the main road amongst a number of other restaurants and all tasty and large portions... Must go! Highly recommended.,en-IN,en-IN,en-IN
"This place has the potential of being one of the best pool clubs around, however, there are lots of areas that's needs to be addressed. Tables were recently reclothed( which is great) but what is not so great is the table maintenance. Tables are always very dirty and it seems that the staff do not care if they are clean and they certainly have no issue with customers doing there job for them by cleaning the tables. Staff are also very slow to clean empty glasses and bottles even when it is not busy at all. Customer service is also severely lacking. On multiple occasions we waited at the bar to be served while staff chatted to each other. Customer service is definitely not a priority. Also they have offers on drinks, but once again they failed to action the offer. Over charging us and when challenge before paying the response was there, there is nothing we can do about it as it being. Processed. So not only are the tables dirty, customer service is lacking they are also over charging clients, so always double check your bill. Other than those issues, could be a great club but they need new management",en-UK,en-UK,en-UK
"Although it's not good for business, I've never watched a film here that has more than 10 people in the cinema. Staff are really friendly and helpful, but the snacks / drink are a little overpriced.",en-UK,en-AU,Can't say
"I used to belong to the Stratford Picture House when it was a clean, nice place and the benefits were good. I went with a friend as she had a couple of free tickets and I was gobsmacked at how run down it has become. The floors were dirty and fraying all over the place. The cafe now closed( so the 10 % off food is now the junk they serve at the popcorn and pop counter. I used to enjoy a decent coffee upstairs with a bite to eat and my discount. The cafe is closed and the seating area is old worn out and so uninspiring. It's not worth the membership price any longer I am afraid to say. The Art house in Crouch end offers a better deal now with a lovely cafe and amazing membership prices. My friend has now joined the Art house cinema and has not renewed her Picture House one. It's a shame because it used to be a beautiful place to go I have added this last paragraph a couple of days later after reading most of the reviews. The cinema clearly does not take any notice of the reviews and do n't even respond. One can only assume it is out of their control and it is a case of poor facilities, lack of staff and no money available to make any upgrades. Such a shame.",en-UK,en-UK,en-UK
"Got in here yesterday to the redhead women cleaning. Was unsure where to sit due to this. Sections were closed off, I have autism, so this makes me feel uncomfortable! Especially when she stares.",en-UK,en-UK,en-UK
"The barman / manager was very welcoming. Bar was clean, warm with Sports screens, darts board and pool table.",en-UK,en-UK,en-AU
"Conveniently located and open. Like the majority of convenience stores, expect to pay a premium on most goods. As of writing, they have a "" Cheap Tuesday "" promotion on lines to give them more competitive pricing. Also if you do a bit of searching you'll sometimes find a really great promo on something which may run for a few days to over a month at a price which undercuts the major supermarkets. Staff are genuine and friendly:)",en-AU,en-AU,en-UK
Door was locked on three separate occasions that we went there. Tried to ring each time but went to voicemail. Pity... would of loved a map of Australia... obviously was n't meant to be.,en-AU,en-AU,en-IN
Food took a little time to come out. I ordered  the big breakfast  meal for 25 and I got a decent size portion. It is however far worse then what I could make myself at home for a fraction of the price. The boiled eggs seemed like they been boiled without the shell as they were completely dry on the outside and looked like my grandmas skin. I mistook them for mozerella. Do nt waste your money here.,en-AU,en-AU,en-AU
"Walked in, no coffee machines working. That have a McDonald style ordering machine so no people to talk to-good for McDonald, not good for a supermarket cafe if you ask me. Not the best cafe I been in so I did n't order anything and walked out. At least costa has people to take your order.",en-AU,en-AU,en-UK
"It's a wonderful restaurant, with a very relaxed atmosphere. Where you can enjoy reasonably price tasty Thai food and lovely cocktails. I had lunch here, which I enjoyed with a glass of wine on this visit. The service was excellent.",en-UK,en-AU,en-UK
Good food and great service. We had brunch here. was n't too busy. Lovely atmosphere.,en-AU,en-AU,en-AU
Dahi bhale is very good but price is a bit high as compared to the other shops! Dahi bhala 1-90 rs per serving,en-IN,en-IN,en-IN
Lunch Rush hour Wednesday Roasted Masala papad Green salad Steamed rice long grain basmati Jhal fish made from fresh rohu fish. Amazing taste. Soft tender fish with excellent scrumptious gravy Licked the bowl clean Mutton kassa Gravy was good but mutton was chewy and leathery. Could have been better if soft young meat was used in gravy. Decent amount Fresh lime soda rupees. Burnt a hole in pocket for the amount received although good Overall experience Again gon na come back for the Jhal fish curry,en-IN,en-IN,en-IN
Everytime I go there they never give my sons desert lolly. Quite annoying as he looks forward to it. Ordered my for got home the food was stone cold and they gave me the wrong sauce in my pita and it looked like it was dropped on the floor barely any salad inside and soggy from the sauce. Need to sanitise the cleaning equipment more often as they smell damp and stale at times.,en-UK,en-UK,en-AU
"Service at the cafe was slow, additionally the order was completely forgotten. When it did arrive the drinks were spilled and no apologies were made. The staff laughed about their inadequacy and were overheard talking about how they were waiting for us to leave( I assume to alleviate their discomfort) Every job is important and should be delivered with professionalism and respect. Disappointed and a taint on our evening.",en-AU,en-UK,en-UK
Best hotel full paisa wasul All dishes aur good and best service,en-IN,en-IN,en-IN
Food quality not so good and do n't order combo dishes you will be cheated,en-IN,en-IN,en-IN
"Foodwise: Steak and mushroom pie was OK. Quiche was very greasy. Coffee was mediocre. What perplexed me the most about this "" award winning "" bakery is there was not a single price anywhere for anything. You do n't know how much you are paying until you get the receipt. Seems innefficient to have to ask the server for a price on everything.",en-AU,Can't say,en-UK
"Although I only had a chicken roll, and it's too little to judge a restaurant, I feel a quick snack here, is nice. The paratha was properly cooked, the chicken pieces were plenty, however the sauce was watered down, so the taste suffered. Had they provided original sauce, the roll would have been awesome, but it only rose to good. I would like to try other dishes and provide a better review, hopefully!!",en-IN,en-IN,en-UK
"Dana eating house is an interesting fusion of Asian and Western cuisine. The entrees were interesting and got the taste buds buzzing, the smoked Peking Duck dish is the one I would recommend, this was a genuine suprise and one dish I would have again. The dishes that did n't really impress me was the char keow teow and chicken curry. The traditional flavours were overpowered or nonexistent. The staff were very friendly and helpful and provided good service even on a busy day. The dishes are priced slightly on the high end, but matches the quality of the dish Dana Eating House is presenting.",en-AU,en-UK,en-UK
"The breakfast is really yummy and exceeds expectations. Loved it. However, there is n't much to choose from. The beverages also took a really long time to come out, they came just before the food and did n't taste that nice. Overall, really good experience.",en-AU,en-IN,en-UK
"Always a pleasure visiting this Theatre. My only issue is that being a Tall person over 6 Foot, the lack of Leg Room can sometimes be a problem.",en-AU,Can't say,en-AU
Huge fish n chips. Even tartar sauce n mushy peas were tasty. Pub atmosphere but clean.,en-UK,en-UK,en-AU
"A bloody ripper concert by Ian Moss, acoustic version, also got to see Kasey Chambers and a new fella who was great who goes by the name of Dingo. Music sounded great in the civic centre. Beer prices were a little high, although overall we had a great night and it's a great venue",en-AU,en-AU,en-AU
One of the best Bakery houses in Guwahati. Variety of item available here. The salty items are too good. Their cakes are also of very good quality.,en-IN,en-IN,en-UK
"Great restaurant and great service. One little hiccup, ordered a strawberry lassi. When they brought mango out, we said we ordered strawberry. The waitress tried to force it onto us and said we ordered mango, but one of us ca n't eat mango so we knew it was n't our mistake. This gave us a little disappointment in what brilliant service we got from the guys. Chicken wings was cooked just right, juicy, tasty, big and a very nice charcoal flavour. Liver starters, despite the liver having a rich taste to it it was yummy Lamb chops, missing that little something that we could n't out our finger on Family nan, light, fluffy great taste Curry, ok, chicken had a dry taste. Overall had a great night, would go back just for the service and starters... And to try more of the menu Thank you",en-UK,en-IN,en-UK
One of the friendliest clubs to train in. Chelsea on reception is always very helpful and friendly,en-AU,en-UK,en-UK
"Food is good and price is reasonable. Neat and tidy place. Fresh food available, be on time otherwise food will finish",en-IN,Can't say,en-IN
"Their breakfast meal starts before 11 am and you can buy any hot drink and toasted bun with egg and bacon for around. After 4 pm, you can buy any hot drink( or cold) and pizza for only 2. Enjoy",en-UK,en-IN,en-UK
"Room was shabby and poorly maintained qitht the toilet seat being wobbly with some urine stains on it. The room stunk of cigarette smoke which lingeree throughout my stay even though the very nice lady on reception gave me a bottle of sir freshener. Bed was comfy and I actually slept very well. Breakfast was simple but ok however the lady serving was rude, abrupt and could do with a few lessons in customer service and relations. My company will not be coming back unfortunately",en-UK,Can't say,en-AU
"was craving broaster bad after leaving the city, called 3x no answer so ordered via their site. Google shows they closed at 12 am but i got there at with store lights off n the store closed up proper spewinnnnnnn after an hour drive with cravings",en-AU,en-AU,en-AU
Good service........ And cake taste was excellent.......,en-IN,en-IN,en-IN
Good Place To Visit. Reasonable And Affordable Price. Good Service Food Quality Is Ok,en-IN,en-IN,en-IN
"Large store with a good selection of groceries and non food. Hand scanners available for easy shopping visits. Jan 24, little has changed but the store is huge and not perfectly signed. Good selection of products though.",en-UK,Can't say,en-UK
"Food is decent here at a reasonable price. The service is fast and people are polite. Also, the ambience is decent. The menu has a wide variety of foods but still some things are missing which will be added to the menu in the future. It was a good experience overall, must visit once.",en-IN,Can't say,en-AU
"Looks like a very good meal, right ? Does n't taste that good. Akakura pappu is just for the name sake. Even the ghee does n't taste good. Rice is served piping hot[ maybe due to the time we visited, we were the first to order lunch for the day]. The ambiance is very good. Service is good. Food taste must be improved a lot. If you are looking for a fine dine place with average taste, go for it. If you want to taste the authentic Andhra meals, it's not recommended. Only veg restaurant. Gufha is upstairs for non veg options.",en-IN,en-IN,en-IN
"Had our breakfast on a Sunday morning. Ordered the lamb burger for the man, ham sandwich for my little man and Egg Benny for myself. And a BOWL of latte to share. Lamb burger is quite special as we do n't see that a lot, but the taste is quite average. Good to see there option of ham sandwich for kids who not fancy with anything else. And happy with the price tag of.:) As for my egg Benny, it tasted quite good, but they should be more generous with Hollandaise sauce.",en-AU,Can't say,en-AU
Best place for dinner outside of City Good atmosphere u should try for dinner,en-IN,Can't say,en-IN
"If you're in search of an Italian dining experience in Stoke-on-Trent, look no further. This restaurant exceeded our expectations with its delicious offerings, including pizza, pasta, chicken steak, and delightful desserts like hot chocolate and brownie. The food was top-notch, and the service was impeccable. Highly recommended!",en-UK,en-UK,en-UK
"Interesting museum in part of Bangor Castle which focuses on local history from bronze age to modern day. There's a nice exhibition on vikings and there's a replica of a viking longhouse to walk through. There's plenty to keep children interested and the climate change exhibition shows that the museum is keeping up to date with the latest topics of interest. There's a lovely cafe with indoor and courtyard seating and a great little shop to visit. The cafe is open everyday. The museum is free to visit and open everyday except Monday. When you've finished at the museum, you can walk around the Castle Park and the Castle walled garden.",en-UK,en-UK,en-AU
Good place to read. Outside areas are pretty nice as well.,en-AU,Can't say,en-UK
"A peek at the Linda Jackson exhibition at Bathurst Regional Art Gallery proved a riotous exploration of colour, landscape inspiration and textiles. The exhibition was well hung and curated to show the link between nature and landscape, the paintings, and the resulting textiles. Staff were warm, welcoming and friendly. Would happily return.",en-AU,en-UK,en-AU
"Juicy burger, good portions. Best burger in the area, nothing compared to average pub ones or other burger places. We ordered smashed, they were n't super smashed but good. Chilly fries were yummy, but bacon cheese ones tastes like burnt onion, not like bacon bits on it. Cheese sauce was really good. A little bit expensive, but nice place and convenient location. Recommended, probably will come back.",en-UK,Can't say,en-AU
Pretty good bar and restaurant though really it's typical pub food. But it was tasty and the drinks good and not too over priced. Service was good as well. It was mid week when we visited so at full roar it might be different. But a nice choice.,en-AU,Can't say,en-UK
"Lovely venue and even lovelier staff. One star deducted for the sound system in the place... it seriously needs updated. The only speakers are at the front of the stage, so my advice is to always buy tickets for the ground floor. Also, the front row seats on the balcony are mad. There is no space to move past people if you're in the middle of the row.",en-UK,Can't say,en-AU
"Taste wise no compromise but cost is high Hotel management should reduce the cost by 10 %-20 %, it will be better.",en-IN,en-IN,en-IN
I'm very much disappointed the second time at first the food was awesome but the second i ordered food it was n't worth it at all the taste n packing also was n't good for the first time we visited it was way too much better than the second trust ua food n taste so they plan the second visit at the same place never disappoint them by this ever..... worst experience ever much disappointed..... i had taken butter naan with chicken kabab n biryani rice n some chicken masala and the butter naan was looking worst than chapati tht was soo dry ca n't even eat tht.....,en-IN,en-IN,en-IN
